lottery_id,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,supp_1,supp_2
de_eurojackpot,2025-10-07,,10,22,38,42,48,2,9
de_eurojackpot,2025-10-03,,1,2,7,21,27,8,12
de_eurojackpot,2025-09-30,,8,11,13,24,27,3,7
de_eurojackpot,2025-09-26,,12,24,26,35,48,1,2
de_eurojackpot,2025-09-23,,7,18,31,32,33,10,11
de_eurojackpot,2025-09-19,,9,37,40,41,46,1,12
de_eurojackpot,2025-09-16,,8,9,14,37,39,1,9
de_eurojackpot,2025-09-12,,7,22,24,33,45,4,12
de_eurojackpot,2025-09-09,,14,18,24,27,50,8,9
de_eurojackpot,2025-09-05,,6,14,25,29,46,7,11
de_eurojackpot,2025-09-02,,1,5,12,38,47,7,8
de_eurojackpot,2025-08-29,,3,5,19,23,48,1,5
de_eurojackpot,2025-08-26,,8,14,21,26,35,4,8
de_eurojackpot,2025-08-22,,3,14,16,22,34,7,10
de_eurojackpot,2025-08-19,,3,4,11,33,47,6,9
de_eurojackpot,2025-08-15,,5,11,20,33,43,6,12
de_eurojackpot,2025-08-12,,11,16,29,37,42,1,11
de_eurojackpot,2025-08-08,,7,16,23,41,42,1,4
de_eurojackpot,2025-08-05,,1,18,21,22,34,1,6
de_eurojackpot,2025-08-01,,4,11,12,20,33,3,5
de_eurojackpot,2025-07-29,,20,21,38,43,49,6,11
de_eurojackpot,2025-07-25,,7,8,13,29,36,4,8
de_eurojackpot,2025-07-22,,5,20,42,46,48,7,8
de_eurojackpot,2025-07-18,,10,12,21,25,39,2,4
de_eurojackpot,2025-07-15,,13,28,33,37,45,6,11
de_eurojackpot,2025-07-11,,6,12,13,43,46,6,11
de_eurojackpot,2025-07-08,,21,27,29,34,43,6,10
de_eurojackpot,2025-07-04,,14,23,34,41,44,5,10
de_eurojackpot,2025-07-01,,1,9,10,12,14,6,8
de_eurojackpot,2025-06-27,,4,14,26,29,50,3,12
de_eurojackpot,2025-06-24,,20,31,35,40,44,3,4
de_eurojackpot,2025-06-20,,6,12,18,37,46,7,9
de_eurojackpot,2025-06-17,,10,13,15,33,35,7,12
de_eurojackpot,2025-06-13,,1,15,18,27,46,5,9
de_eurojackpot,2025-06-10,,1,17,20,28,42,2,12
de_eurojackpot,2025-06-06,,7,8,11,23,39,5,11
de_eurojackpot,2025-06-03,,6,8,19,26,30,1,12
de_eurojackpot,2025-05-30,,4,5,26,29,43,5,9
de_eurojackpot,2025-05-27,,6,9,17,25,41,4,10
de_eurojackpot,2025-05-23,,11,17,19,33,40,7,12
de_eurojackpot,2025-05-20,,8,19,20,21,28,7,10
de_eurojackpot,2025-05-16,,6,8,15,27,39,6,12
de_eurojackpot,2025-05-13,,14,16,19,33,34,5,12
de_eurojackpot,2025-05-09,,1,5,27,36,43,5,9
de_eurojackpot,2025-05-06,,1,21,22,46,49,9,10
de_eurojackpot,2025-05-02,,3,15,22,33,35,1,7
de_eurojackpot,2025-04-29,,17,21,27,30,34,8,11
